CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
69341,0.0,8.0,Mobile Phone,2,7.0,Credit Card,Male,4.0,4,Laptop & Accessory,4,Single,1.0,1,16.0,0.0,3.0,1.0,204.0
117343,0.0,6.0,Computer,1,10.0,Debit Card,Male,2.0,4,Mobile Phone,3,Single,5.0,0,15.0,3.0,4.0,2.0,235.0
95236,0.0,9.0,Phone,2,15.0,Debit Card,Female,2.0,4,Mobile,5,Single,12.0,1,15.0,0.0,1.0,0.0,134.0
123312,0.0,1.0,Mobile Phone,1,7.0,Credit Card,Male,5.0,4,Mobile Phone,4,Single,1.0,0,16.0,1.0,5.0,3.0,152.0
131406,0.0,42.0,Computer,2,18.0,Credit Card,Male,3.0,5,Mobile Phone,3,Married,10.0,0,20.0,1.0,8.0,,215.0
101921,0.0,3.0,Mobile Phone,2,13.0,Debit Card,Male,2.0,5,Laptop & Accessory,2,Married,8.0,0,12.0,3.0,4.0,5.0,146.0
113773,0.0,23.0,Phone,3,6.0,Credit Card,Female,4.0,4,Fashion,4,Divorced,5.0,0,19.0,2.0,6.0,3.0,214.0
69687,0.0,10.0,Mobile Phone,2,9.0,UPI,Male,4.0,4,Mobile,4,Married,9.0,0,12.0,3.0,3.0,2.0,217.0
131764,0.0,14.0,Mobile Phone,3,13.0,Credit Card,Male,4.0,4,Mobile Phone,3,Divorced,5.0,0,15.0,1.0,2.0,2.0,129.0
66831,1.0,27.0,Phone,2,13.0,Credit Card,Female,3.0,5,Others,2,Married,2.0,0,14.0,1.0,1.0,0.0,173.0
120549,1.0,,Mobile Phone,2,7.0,Credit Card,Female,3.0,3,Grocery,5,Single,4.0,1,12.0,0.0,2.0,1.0,184.0
81476,0.0,21.0,Mobile Phone,1,38.0,Debit Card,Male,3.0,3,Laptop & Accessory,5,Married,3.0,0,23.0,2.0,4.0,5.0,194.0
113130,1.0,1.0,Mobile Phone,2,23.0,Credit Card,Male,3.0,1,Laptop & Accessory,3,Divorced,6.0,1,15.0,2.0,3.0,3.0,137.0
101351,0.0,21.0,Mobile Phone,2,11.0,UPI,Male,2.0,2,Grocery,3,Married,6.0,0,22.0,4.0,5.0,3.0,244.0
139027,0.0,1.0,Phone,1,10.0,Credit Card,Female,1.0,3,Mobile Phone,2,Divorced,2.0,0,11.0,2.0,4.0,4.0,177.0
113573,0.0,13.0,Phone,2,6.0,Credit Card,Male,2.0,4,Mobile Phone,2,Married,6.0,1,12.0,3.0,8.0,14.0,217.0
63040,0.0,16.0,Mobile Phone,3,25.0,E wallet,Male,2.0,4,Laptop & Accessory,4,Single,1.0,0,12.0,0.0,2.0,0.0,111.0
134608,1.0,5.0,Mobile Phone,1,26.0,Debit Card,Male,4.0,4,Laptop & Accessory,4,Single,2.0,1,14.0,0.0,2.0,13.0,181.0
51343,0.0,13.0,Mobile Phone,2,12.0,Credit Card,Female,2.0,5,Grocery,2,Single,2.0,0,19.0,2.0,2.0,1.0,226.0
118246,1.0,10.0,Computer,1,29.0,Debit Card,Female,2.0,3,Laptop & Accessory,3,Married,1.0,0,11.0,0.0,2.0,1.0,146.0
106657,0.0,4.0,Computer,2,15.0,UPI,Male,3.0,4,Mobile,4,Divorced,5.0,1,11.0,4.0,7.0,5.0,242.0
133763,1.0,5.0,Phone,3,23.0,Debit Card,Male,2.0,4,Mobile Phone,2,Married,5.0,0,18.0,2.0,4.0,6.0,178.0
108486,1.0,10.0,Mobile Phone,1,6.0,Debit Card,Female,2.0,4,Mobile Phone,3,Single,10.0,1,16.0,5.0,6.0,9.0,161.0
77151,1.0,7.0,Computer,1,24.0,Debit Card,Male,2.0,4,Laptop & Accessory,1,Single,6.0,0,13.0,1.0,2.0,6.0,195.0
130007,1.0,4.0,Phone,1,11.0,Debit Card,Female,3.0,3,Mobile Phone,4,Married,2.0,1,18.0,1.0,2.0,5.0,172.0
123256,0.0,7.0,Mobile Phone,2,6.0,Credit Card,Male,2.0,5,Mobile Phone,5,Single,3.0,1,14.0,0.0,1.0,0.0,133.0
130080,1.0,4.0,Phone,1,,COD,Male,2.0,3,Laptop & Accessory,3,Single,4.0,0,12.0,0.0,2.0,3.0,180.0
94261,0.0,17.0,Mobile Phone,1,7.0,Debit Card,Male,3.0,3,Laptop & Accessory,3,Divorced,1.0,1,18.0,0.0,1.0,1.0,81.0
126710,0.0,22.0,Mobile Phone,1,10.0,E wallet,Female,3.0,4,Mobile Phone,1,Married,7.0,1,13.0,2.0,4.0,8.0,225.0
66321,1.0,8.0,Computer,1,27.0,COD,Male,3.0,4,Laptop & Accessory,2,Single,4.0,1,13.0,2.0,3.0,4.0,89.0
98577,1.0,12.0,Computer,1,12.0,E wallet,Male,3.0,4,Mobile Phone,3,Single,2.0,1,24.0,3.0,5.0,2.0,119.0
88634,1.0,11.0,Mobile Phone,3,19.0,Cash on Delivery,Female,2.0,3,Others,2,Single,1.0,1,18.0,2.0,5.0,5.0,212.0
118626,0.0,18.0,Mobile Phone,2,16.0,Credit Card,Male,2.0,4,Mobile Phone,1,Married,8.0,0,17.0,5.0,3.0,3.0,186.0
115070,0.0,2.0,Mobile Phone,1,10.0,E wallet,Female,3.0,3,Laptop & Accessory,4,Single,3.0,1,12.0,1.0,5.0,,192.0
117301,0.0,2.0,Mobile Phone,2,7.0,Debit Card,Female,3.0,5,Laptop & Accessory,1,Single,3.0,0,15.0,1.0,3.0,,176.0
142345,0.0,3.0,Mobile Phone,1,12.0,Debit Card,Male,4.0,3,Mobile Phone,4,Married,3.0,1,15.0,2.0,3.0,4.0,181.0
113795,0.0,28.0,Computer,1,30.0,Debit Card,Male,3.0,3,Mobile,2,Single,4.0,1,20.0,3.0,2.0,1.0,191.0
99053,0.0,14.0,Computer,3,7.0,E wallet,Male,3.0,3,Grocery,4,Single,4.0,0,13.0,2.0,3.0,8.0,187.0
134427,0.0,21.0,Mobile Phone,3,17.0,Debit Card,Male,4.0,4,Mobile,4,Single,4.0,0,17.0,1.0,2.0,0.0,188.0
138043,1.0,5.0,Computer,2,23.0,Credit Card,Male,3.0,3,Fashion,1,Married,3.0,0,21.0,0.0,1.0,0.0,112.0
132452,0.0,13.0,Mobile Phone,2,10.0,Credit Card,Male,3.0,5,Others,2,Single,3.0,1,16.0,2.0,4.0,1.0,251.0
